Name,ExpressionScript
Caustic Circulation,CIP_01_Caustic_Supply_Valve == true && CIP_01_Caustic_Return_Valve == true && CIP_01_Return_Temp > 150
Caustic Circulation,CIP_01_Caustic_Return_Valve == true && CIP_01_Caustic_Supply_Valve == false && CIP_01_Step_No > 30
HS_FT,HS_FT > 78
Caustic Heat to Temperature,CIP_01_Caustic_Supply_Valve == true && CIP_01_Caustic_Return_Valve == false && CIP_01_Supply_Pump == true && CIP_01_Return_Temp < 110
Caustic Heat to Temperature,CIP_01_Caustic_Supply_Valve == true && CIP_01_Caustic_Return_Valve == true && CIP_01_Return_Temp > 150
Fresh Water Rinse Recovery,CIP_01_Fresh_Water_Supply_Valve == true && CIP_01_Caustic_Return_Valve == true && CIP_01_Caustic_Supply_Valve == false
Fresh Water Rinse Recovery,CIP_01_Caustic_Return_Valve == false
Fresh Water Rinse to Drain,CIP_01_Fresh_Water_Supply_Valve == true && CIP_01_Supply_Pump == true && CIP_01_Caustic_Return_Valve == false && CIP_01_Caustic_Supply_Valve == false && CIP_01_Sanitizer_Pump == false && CIP_01_Step_No < 75
Fresh Water Rinse to Drain,CIP_01_Fresh_Water_Supply_Valve == false
Sanitize Water,CIP_01_Sanitizer_Pump == true && CIP_01_Fresh_Water_Supply_Valve == true && CIP_01_Supply_Pump == true && CIP_01_Step_No == 72
Sanitize Water,CIP_01_Fresh_Water_Supply_Valve == false
Sanitizer to Drain,CIP_01_Sanitizer_Pump == true && CIP_01_Supply_Pump == true && CIP_01_Fresh_Water_Supply_Valve == true && CIP_01_Step_No == 72
Sanitizer to Drain,CIP_01_Fresh_Water_Supply_Valve == false
Caustic Circulation,CIP_02_Caustic_Supply_Valve == true && CIP_02_Caustic_Return_Valve == true && CIP_02_Return_Temp > 150
Caustic Circulation,CIP_02_Caustic_Return_Valve == true && CIP_02_Caustic_Supply_Valve == false && CIP_02_Step_No > 32
Caustic Heat to Temperature,CIP_02_Caustic_Supply_Valve == true && CIP_02_Caustic_Return_Valve == false && CIP_02_Supply_Pump == true && CIP_02_Return_Temp < 110
Caustic Heat to Temperature,CIP_02_Caustic_Supply_Valve == true && CIP_02_Caustic_Return_Valve == true && CIP_02_Return_Temp > 150
Fresh Water Rinse Recovery,CIP_02_Fresh_Water_Supply_Valve == true && CIP_02_Caustic_Return_Valve == true && CIP_02_Caustic_Supply_Valve == false
Fresh Water Rinse Recovery,CIP_02_Caustic_Return_Valve == false
Fresh Water Rinse to Drain,CIP_02_Fresh_Water_Supply_Valve == true && CIP_02_Supply_Pump == true && CIP_02_Sanitizer_Pump == false && CIP_02_Caustic_Return_Valve == false && CIP_02_Caustic_Supply_Valve == false && CIP_02_Step_No < 70
Fresh Water Rinse to Drain,CIP_02_Fresh_Water_Supply_Valve == false
Fresh Water Rinse to Drain,CIP_02_Fresh_Water_Supply_Valve == true && CIP_02_Supply_Pump == true && CIP_02_Sanitizer_Pump == false && CIP_02_Caustic_Return_Valve == false && CIP_02_Caustic_Supply_Valve == false && CIP_02_Step_No < 70
Fresh Water Rinse to Drain,CIP_02_Fresh_Water_Supply_Valve == false
Sanitize Water,CIP_02_Sanitizer_Pump == true && CIP_02_Fresh_Water_Supply_Valve == true && CIP_02_Supply_Pump == true && CIP_02_Step_No == 72
Sanitize Water,CIP_02_Fresh_Water_Supply_Valve == false
Sanitizer to Drain,CIP_02_Sanitizer_Pump == true && CIP_02_Fresh_Water_Supply_Valve == true && CIP_02_Supply_Pump == true && CIP_02_Step_No == 72
Sanitizer to Drain,CIP_02_Fresh_Water_Supply_Valve == false
Caustic Circulation,CIP_03_Caustic_Supply_Valve == true && CIP_03_Caustic_Return_Valve == true && CIP_03_Step_No == 6 && CIP_03_Return_Temp > 150
Caustic Circulation,CIP_03_Step_No != 6
Caustic Heat to Temperature,CIP_03_Caustic_Supply_Valve == true && CIP_03_Caustic_Return_Valve == false && CIP_03_Return_Temp < 110
Caustic Heat to Temperature,CIP_03_Caustic_Supply_Valve == true && CIP_03_Caustic_Return_Valve == true && CIP_03_Return_Temp > 150
Drain,CIP_03_Step_No == 15
Drain,CIP_03_Step_No != 15
Fresh Water Rinse to Drain,CIP_03_Step_No == 1 || CIP_03_Step_No == 4 || CIP_03_Step_No == 8 || CIP_03_Step_No == 12
Fresh Water Rinse to Drain,CIP_03_Step_No != 1 && CIP_03_Step_No != 4 && CIP_03_Step_No != 8 && CIP_03_Step_No != 12
Sanitize Water,CIP_03_Step_No >= 13 && CIP_03_Step_No <= 14
Sanitize Water,CIP_03_Step_No <= 13 && CIP_03_Step_No >= 14
Sanitizer to Drain,CIP_03_Step_No >= 13 && CIP_03_Step_No <= 14
Sanitizer to Drain,CIP_03_Step_No <= 13 && CIP_03_Step_No >= 14
Caustic Circulation,CIP_04_Caustic_Supply_Valve == true && CIP_04_Caustic_Return_Valve == true && CIP_04_Return_Temp > 150
Caustic Circulation,CIP_04_Caustic_Return_Valve == true && CIP_04_Caustic_Supply_Valve == false && CIP_05_Step > 33
Caustic Heat to Temperature,CIP_04_Caustic_Supply_Valve == true && CIP_04_Caustic_Return_Valve == false && CIP_04_Return_Temp < 110
Caustic Heat to Temperature,CIP_04_Caustic_Supply_Valve == true && CIP_04_Caustic_Return_Valve == true && CIP_04_Return_Temp > 150
Fresh Water Rinse to Drain,CIP_04_Sanitizer_Pump == false && CIP_04_Fresh_Water_Supply_Valve == true && CIP_04_Supply_Pump == true && CIP_04_Caustic_Return_Valve == false && CIP_04_Caustic_Supply_Valve == false && CIP_05_Step < 70
Fresh Water Rinse to Drain,CIP_04_Fresh_Water_Supply_Valve == false
Sanitize Water,CIP_04_Sanitizer_Pump == true && CIP_04_Fresh_Water_Supply_Valve == true && CIP_04_Supply_Pump == true && CIP_05_Step == 72
Sanitize Water,CIP_04_Fresh_Water_Supply_Valve == false
Sanitizer to Drain,CIP_04_Sanitizer_Pump == true && CIP_04_Fresh_Water_Supply_Valve == true && CIP_04_Supply_Pump == true && CIP_05_Step == 72
Sanitizer to Drain,CIP_04_Fresh_Water_Supply_Valve == false
Acid Circulation,CIP_06_Acid_Supply_Valve == true && CIP_06_Acid_Return_Valve == true && CIP_06_Return_Temp > 130
Acid Circulation,CIP_06_Acid_Supply_Valve == 0 || CIP_06_Step != 7
Acid Heat to Temperature,CIP_06_Acid_Supply_Valve == true && CIP_06_Acid_Return_Valve == false && CIP_06_Return_Temp < 110
Acid Heat to Temperature,CIP_06_Acid_Return_Valve == true && CIP_06_Caustic_Supply_Valve == true && CIP_06_Return_Temp > 135
Acid Recovery,CIP_06_Step == 8 && CIP_06_Acid_Return_Valve == true && CIP_06_Acid_Supply_Valve == false
Acid Recovery,CIP_06_Step != 8 || CIP_06_Acid_Return_Valve != true || CIP_06_Acid_Supply_Valve != false
Caustic Circulation,CIP_06_Caustic_Supply_Valve == true && CIP_06_Caustic_Return_Valve == true && CIP_06_Return_Temp > 150
Caustic Circulation,CIP_06_Caustic_Supply_Valve == false || CIP_06_Step != 3
Caustic Heat to Temperature,CIP_06_Caustic_Supply_Valve == true && CIP_06_Caustic_Return_Valve == false && CIP_06_Return_Temp < 110
Caustic Heat to Temperature,CIP_06_Caustic_Return_Valve == true && CIP_06_Caustic_Supply_Valve == true && CIP_06_Return_Temp > 150
Caustic Recovery,CIP_06_Step == 4 && CIP_06_Caustic_Return_Valve == true && CIP_06_Caustic_Supply_Valve == false
Caustic Recovery,CIP_06_Step != 4 && CIP_06_Caustic_Return_Valve != true && CIP_06_Caustic_Supply_Valve != false
Fresh Water Rinse to Drain,CIP_06_Fresh_Water_To_Rinse_Tk_Valve == true && CIP_06_Acid_Return_Valve == false && CIP_06_Caustic_Return_Valve == false && CIP_06_Step != 12 && CIP_06_Step != 1
Fresh Water Rinse to Drain,CIP_06_Fresh_Water_To_Rinse_Tk_Valve != true && CIP_06_Acid_Return_Valve != false && CIP_06_Caustic_Return_Valve != false && CIP_06_Step == 12 && CIP_06_Step == 1
Pre Rinse,CIP_06_Step == true
Pre Rinse,CIP_06_Step != true
Sanitize to Drain,CIP_06_Step >= 10 && CIP_06_Step <= 11
Sanitize to Drain,CIP_06_Step <= 10 && CIP_06_Step >= 11
Sanitize Water,CIP_06_Step >= 10 && CIP_06_Step <= 11
Sanitize Water,CIP_06_Step <= 10 && CIP_06_Step >= 11
Acid Circulation,CIP_07_Step == 9 && CIP_07_Acid_Supply_Valve == true && CIP_07_Acid_Return_Valve == true
